θ,Etiqueta,N_extintas,N_total,P(extinción),Media (μ),Mediana,Desv_Std (σ),Varianza (σ²),CV,Mínimo,Q25,Q75,Máximo,IQR,Asimetría,Curtosis
2.0,θ = 2.0 (SuperLineal Extremo),5003,10000,0.5003,0.14638138138138138,0.0,0.2103426218532936,0.04424401856811767,1.43694928868903,0.0,0.0,0.15015015015015015,1.951951951951952,0.15015015015015015,2.1646713418502164,6.429667792135097
1.0,θ = 1.0 (Logístico),4910,10000,0.491,0.15462462462462465,0.15015015015015015,0.22522081877571354,0.0507244172100028,1.456565015581911,0.0,0.0,0.18768768768768768,2.1021021021021022,0.18768768768768768,2.32358272035037,7.564083728109752
0.64,θ = 0.64 (Superlineal),5012,10000,0.5012,0.15151651651651651,0.0,0.22608530423275025,0.05111456479001524,1.4921495651472765,0.0,0.0,0.15015015015015015,2.2522522522522523,0.15015015015015015,2.635295205394709,10.769753777354527
-0.5,θ = -0.5 (Sublineal ),4706,10000,0.4706,0.17192192192192193,0.0,0.2926724554432552,0.0856571661751842,1.7023568150673183,0.0,0.0,0.3003003003003003,4.354354354354355,0.3003003003003003,4.133960784319658,29.56658115285874
-1.0,θ = -1.0 (Sublineal Crítico),2393,10000,0.2393,0.46064564564564564,0.3003003003003003,0.5565750241560171,0.309775757514271,1.2082498324192685,0.0,0.15015015015015015,0.45045045045045046,7.057057057057057,0.3003003003003003,3.957175291898026,22.8436772783492
2.0,θ = -2.0 (Extremadamente Sublineal),5034,10000,0.5034,0.15423423423423424,0.15015015015015015,0.2200025168349672,0.04840110741372002,1.4264181874229764,0.0,0.0,0.3003003003003003,2.1021021021021022,0.3003003003003003,2.1310284437413998,6.090445273998299
